PnPID,Size,Spec,Spec Part,SpecPartGuid
3527,50,,,
3533,50,,,
3583,25,,,
3593,25,,,
3608,,,,
3610,25,,,
3612,,,,
3616,,,,
3620,,,,
3622,15,,,
3624,,,,
3626,25,,,
3628,,,,
3630,25,,,
3632,,,,
3634,25,,,
3636,25,,,
3638,,,,
3640,15,,,
3642,25,,,
3644,,,,
3646,15,,,
3648,,,,
3650,25,,,
3652,25,,,
3660,25,,,
3672,,,,
3674,,,,
3676,80,,,
3690,,,,
3698,,,,
3713,,,,
3717,25,,,
3719,25,,,
3725,,,,
3735,,,,
3737,,,,
3743,25,,,
3745,25,,,
3747,,,,
3751,,,,
3771,50,,,
3779,,,,
3785,,,,
3799,,,,
3808,,,,
3818,,,,
3848,,,,
3850,25,,,
3854,50,,,
3856,50,,,
3858,50,,,
3860,,,,
3870,,,,
3880,,,,
3884,15,,,
3953,25,,,
3957,50,,,
3959,15,,,
3961,25,,,
3965,50,,,
3967,50,,,
3969,,,,
3971,50,,,
3973,40,,,
3975,25,,,
3979,,,,
3981,50,,,
3987,25,,,
3993,50,,,
3997,25,,,
3999,,,,
4002,80,,,
4008,25,,,
4010,,,,
4038,25,,,
4040,15,,,
4042,,,,
4044,25,,,
4046,15,,,
4054,25,,,
4056,15,,,
4058,25,,,
4060,,,,
4062,,,,
4064,15,,,
4066,25,,,
4068,15,,,
4070,25,,,
4072,,,,
4074,25,,,
4076,,,,
4078,25,,,
4080,25,,,
4082,,,,
4084,25,,,
4086,25,,,
4088,,,,
4092,25,,,
4305,50,,,
4309,80,,,
4311,80,,,
4327,25,,,
4329,,,,
6050,50,,,
6066,50,,,
6221,?,,,
6249,25,,,
6308,50,,,
6564,80,,,
6566,80,,,
6568,25,,,
6570,25,,,
6626,,,,
7011,80,,,
7054,25,,,
7060,25,,,
7068,25,,,
7072,25,,,
7084,80,,,
7090,25,,,
7101,25,,,
7103,50,,,
7113,25,,,
7117,50,,,
7129,25,,,
7137,50,,,
7149,50,,,
7153,25,,,
7321,50,,,
7327,50,,,
7337,50,,,
7385,50,,,
7461,50,,,
7602,50,,,
7610,50,,,
7624,25,,,
7640,25,,,
7678,80,,,
7717,25,,,
7746,80,,,
7770,100,,,
7797,100,,,
7912,100,,,
7928,25,,,
7940,50,,,
7946,100,,,
7962,25,,,
7968,100,,,
7974,50,,,
7978,50,,,
7984,25,,,
8009,25,,,
8017,50,,,
8023,50,,,
8040,25,,,
8046,25,,,
8050,25,,,
8054,50,,,
8070,,,,
8076,25,,,
8082,25,,,
8086,25,,,
8092,25,,,
8096,50,,,
8119,50,,,
8125,25,,,
8131,50,,,
8137,50,,,
8157,50,,,
8165,50,,,
8182,50,,,
8221,25,,,
8233,25,,,
8269,DN15,,,
8280,DN15,,,
8408,80,,,
8430,50,,,
8439,50,,,
8445,80,,,
8459,50,,,
8469,50,,,
8497,32,,,
8513,25,,,
8519,50,,,
8549,32,,,
8555,50,,,
8569,50,,,
8605,50,,,
8616,50,,,
8683,25,,,
8715,"1/2""",,,
8741,15,,,
8747,15,,,
8755,"1/2""",,,
8805,25,,,
8836,"1/2""",,,
8880,50,.,,
8894,50,,,
8924,80,,,
9006,80,,,
9029,DN15,,,
9038,50,,,
9051,25,,,
9081,80,,,
9106,25,,,
9171,50,,,
9204,50,,,
9227,50,,,
9262,50,,,
9289,50,,,
9319,50,,,
9338,50,,,
9363,50,,,
9369,50,,,
9477,50,,,
9491,50,,,
9497,50,,,
9508,25,,,
9516,25,,,
9522,50,,,
9553,"1/2""",,,
9565,15,,,
9573,"1/2""",,,
9593,15,,,
9599,50,,,
9611,15,,,
9617,25,,,
9644,15,,,
9648,25,,,
9652,25,,,
9934,DN15,,,
10107,DN15,,,
10112,DN15,,,
10118,DN15,,,
10186,25,,,
10193,25,,,
10199,25,,,
10250,,,,
10268,15,,,
10277,?,,,
10431,50,,,
10597,80,,,
10706,50,,,
10767,50,,,
10932,100,,,
10980,80,2,,
11232,,,,
11903,,,,
11928,,,,
12072,,,,
12170,,,,
12172,,,,
12174,,,,
12176,,,,
12180,,,,
12182,,,,
12266,,,,
12268,,,,
12456,,,,
12458,,,,
12475,,,,
12535,,,,
12580,,,,
12582,,,,
12584,,,,
12586,,,,
12591,,,,
12597,,,,
12599,,,,
12610,,,,
12614,,,,
12616,,,,
12618,,,,
12628,,,,
12630,,,,
12632,,,,
