RelationshipTypeName,PhysicalName,SyncTimestamp
ReferenceRelationship,ReferenceRelationship,
LineInlineAsset,LineInlineAsset,
LineStartAsset,LineStartAsset,
LineEndAsset,LineEndAsset,
LineFlowArrow,LineFlowArrow,
LineFlag,LineFlag,
AnnotationRelationship,AnnotationRelationship,
AssetOwnership,AssetOwnership,
SegmentBreak,SegmentBreak,
LineOffPageConnector,LineOffPageConnector,
LineNozzle,LineNozzle,
PipeLineGroupRelationship,PipeLineGroupRelationship,
SignalLineGroupRelationship,SignalLineGroupRelationship,
ConnectorsRelationship,ConnectorsRelationship,
AssetNonEngineeringRelationship,AssetNonEngineeringRelationship,
PipeLineGroupSignalLineGroup,PipeLineGroupSignalLineGroup,
LineLineRelationship,LineLineRelationship,
LineStartLine,LineStartLine,
LineEndLine,LineEndLine,
