RelationshipTypeName,RoletypeName,TableInRole,Cardinality
ReferenceRelationship,Referencing,PnPBase,Many
ReferenceRelationship,Referenced,PnPBase,Many
LineInlineAsset,Line,Lines,Many
LineInlineAsset,Asset,EngineeringItems,Many
LineStartAsset,Line,Lines,Many
LineStartAsset,Asset,EngineeringItems,Many
LineEndAsset,Line,Lines,Many
LineEndAsset,Asset,EngineeringItems,Many
LineFlowArrow,Line,Lines,Many
LineFlowArrow,Arrow,FlowArrow,Many
LineFlag,Line,Lines,Many
LineFlag,Flag,Flag,Many
AnnotationRelationship,Annotated,PnPBase,Many
AnnotationRelationship,Annotation,Annotation,Many
AssetOwnership,Owner,EngineeringItems,Many
AssetOwnership,Owned,EngineeringItems,Many
SegmentBreak,Line,Lines,Many
SegmentBreak,Break,LineBreakers,Many
LineOffPageConnector,Line,Lines,Many
LineOffPageConnector,OffPageConnector,Connectors,Many
LineNozzle,Line,Lines,Many
LineNozzle,Nozzle,Nozzles,Many
PipeLineGroupRelationship,PipeLineGroup,PipeLineGroup,Many
PipeLineGroupRelationship,PipeLine,PipeLines,Many
SignalLineGroupRelationship,SignalLineGroup,SignalLineGroup,Many
SignalLineGroupRelationship,SignalLine,SignalLines,Many
ConnectorsRelationship,Connector1,Connectors,Many
ConnectorsRelationship,Connector2,Connectors,Many
AssetNonEngineeringRelationship,Asset,EngineeringItems,Many
AssetNonEngineeringRelationship,NonEngineering,NonEngineeringItems,Many
PipeLineGroupSignalLineGroup,PipeLineGroup,PipeLineGroup,Many
PipeLineGroupSignalLineGroup,SignalLineGroup,SignalLineGroup,Many
LineLineRelationship,Line1,Lines,Many
LineLineRelationship,Line2,Lines,Many
LineStartLine,Line1,Lines,Many
LineStartLine,Line2,Lines,Many
LineEndLine,Line1,Lines,Many
LineEndLine,Line2,Lines,Many
