Tag,RowId,PnPID
001,4517,5919
B 6625,4290,6076
LKW-LOSPLAATS VOLGENS RICHTLIJNEN,3406,6216
0,6221,6225
B 6630,4292,6303
H672B1,6249,6915
R276.B1T1,4309,7033
P-6650,7349,7363
PM-6650,7364,7366
R565B1,4315,7508
V660B1,7321,7605
V661B1,7797,7802
PM-6610B,7826,7832
P-6620B,7841,7845
PM-6620B,7835,7846
P-6620A,7994,7998
PM-6620A,7986,7999
H672D3,8023,8025
P8404ZY1,8269,8273
P-6610A,8479,8481
PM-6610A,8486,8488
PM-6645A,8775,8777
P-6645A,8778,8782
PM-6645B,8791,8793
P-6645B,8794,8802
K610DT,4002,9028
V665B1,3642,9377
P-6635B,9629,9631
PM-6635B,9625,9632
PM-6635A,9658,9660
P-6635A,9665,9808
F 6610,9835,9841
BX 6620,9871,9906
BX 6610,9874,9919
Y 6645A,9934,10106
Y 6645B,10107,10111
Y 6635A,10112,10120
Y 6635B,10118,10121
W-6645,10135,10139
W-6620,10148,10152
W-6610,10155,10159
RM-6640,10162,10166
NIM± NR6640,10175,10177
NO+A M±K NR6640,10178,10180
PI P6640,10181,10183
B 6635,3478,10220
B 6645,3890,10221
B 6620,3474,10222
R 6640,10171,10281
R276.2B1T,10277,10282
V600B2,6066,10936
V600B3,6308,10937
H672B2,7610,10938
H672B3,3626,10939
H672B4,3593,10940
H672B5,3622,10941
H672B6,9648,10942
H672B7,3583,10943
H672B8,9644,10944
H672B9,9611,10945
V660B3,3630,10946
H672B10,3634,10947
H672B11,3640,10948
H672B12,3636,10949
H672B14,3646,10951
H672B15,3650,10952
H672B18,3959,10955
V660B4,3957,10956
H672B19,3858,10957
H672B20,3953,10958
H672B21,3856,10959
H672B22,3854,10960
H672B23,3850,10961
H672B24,7090,10962
H672B25,10980,10984
H672B26,7011,10985
H672B27,3660,10986
H672B28,7060,10987
H672B29,7054,10988
H672B30,7072,10989
R276.B1T2,7084,10990
H672B31,7103,10991
H672B32,7137,10992
H672B33,7129,10993
H672B34,7101,10994
H672B35,7117,10995
H672B36,7149,11001
H672B37,7153,11002
H672B38,7113,11003
H672B39,3717,11004
H672B40,3743,11102
H672B41,3745,11103
R276.B1T3,8519,11104
R276.B1T4,10767,11105
H672B42,3987,11106
H672B43,3973,11107
H672B44,3993,11108
H672B45,3971,11121
H672B46,3961,11122
H672B47,3967,11123
H672B48,3965,11124
H672D1,3975,11127
V660B5,3981,11129
H672B17,9363,11132
H672B16,9369,11133
H672B13,3652,11134
H672B49,8082,11137
H672B50,8086,11139
H672B51,8125,11142
H672B52,8137,11143
H672B53,8050,11144
H672B54,8046,11145
H672B55,8119,11146
H672B56,8092,11147
R276.B1T5,8430,11157
R276.B1T6,8439,11160
H672B57,10199,11163
H672B58,10193,11164
H672B59,3997,11168
H672D2,4008,11169
H672B60,7974,11170
H672B61,7984,11171
H672B62,8009,11172
H672B63,10597,11176
H672B64,7678,11179
H672B65,4038,11180
H672B66,4040,11181
H672B67,4044,11182
H672B68,4046,11183
H672B69,4074,11184
H672B70,4066,11185
H672B71,4070,11186
H672B72,4068,11187
H672B73,4054,11188
H672B74,4064,11189
H672B75,4056,11190
H672B76,4058,11191
H672B77,4078,11192
H672B78,4080,11193
H672B79,4084,11198
H672B80,4092,11204
H672B81,4086,11205
B 6610,3472,11272
V661B2,10932,11442
A 6650,4117,11447
P-6610B,10778,11448
B 6650,4115,11449
P8404ZY2,8280,11450
P8404ZY3,9029,11451
V660B2,3610,11452
N-8_3474,7958,11456
N-8,7810,11457
N-2_3890,9042,11458
V600B1,6050,11467
H672B82,7068,11506
B-439,11905,11907
LEKBAK-001,12004,12009
B-440,12035,12037
M-440,12038,12040
NM-NR 440,12043,12045
LISA-L 440,12049,12051
NK-NU 440,12061,12063
HVMK-H 439,11935,12064
GO-H 439,12065,12067
TS-NU 440,12059,12068
GO-H 440,12112,12114
HVMK-H 440,12110,12115
LEKBAK-002,12116,12118
B-441,12139,12141
LIS-A-L 441,12149,12159
NM-NR 441,12151,12160
TS-NU 441,12166,12168
NK-NU 441,12164,12169
V940807-T-451,12184,12186
LEKBAK-003,12187,12189
TIS-A-T 441,12285,12311
SIC-NP 441,12287,12312
NO-A-M-K-NP 441,12289,12313
NM-NP 441,12293,12314
NIM-NP 441,12291,12315
PICA-P 441,12295,12316
HVM-K-H 441,12297,12317
GO-H 441,12299,12318
FFCA-F 464,12307,12321
FVK-F 464-1,12305,12322
PI-P 446,12309,12323
NK-NU 442,12327,12329
FIR-F 463,12319,12394
PDIS-P 445,12401,12403
PIA-P 444,12408,12410
HM-A-H 443,12411,12413
P-441,12416,12418
GO-H 442,12404,12548
HVM-K-H 442,12406,12549
H672B1V,12591,12595
H672B1-15,12180,12596
OV 62,12651,12653
